epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.2472,2.00095,2.96935,1.55956,0.88245,0.15298,0.18316,0.08535,1.76404,3.35453,1.26805,0.000467673,0.000467673,0.000467673
2,36.865,1.84029,1.98429,1.43466,0.75794,0.21269,0.51445,0.21243,1.93368,2.73374,1.55965,0.000925315,0.000925315,0.000925315
3,53.8197,1.82015,1.82292,1.42582,0.59322,0.69517,0.68537,0.27471,1.86068,1.98855,1.46325,0.00136409,0.00136409,0.00136409
4,70.6161,1.807,1.7172,1.43288,0.55152,0.68624,0.58973,0.22607,1.87498,1.9362,1.40866,0.00134412,0.00134412,0.00134412
5,87.0195,1.81018,1.62157,1.42139,0.61973,0.71091,0.71128,0.28933,1.85678,1.80912,1.38137,0.00131582,0.00131582,0.00131582
6,105.169,1.78141,1.53042,1.39478,0.74271,0.75872,0.78814,0.33237,1.69544,1.57583,1.34112,0.00128753,0.00128753,0.00128753
7,123.725,1.73573,1.46833,1.37729,0.68613,0.7539,0.75244,0.30755,1.81987,1.55763,1.3255,0.00125923,0.00125923,0.00125923
8,140.453,1.74458,1.42814,1.3809,0.73049,0.69943,0.75364,0.31359,1.76405,1.51294,1.34974,0.00123094,0.00123094,0.00123094
9,157.069,1.71885,1.40098,1.37618,0.71475,0.6707,0.72805,0.30224,1.76689,1.62192,1.37945,0.00120265,0.00120265,0.00120265
10,173.257,1.70665,1.3345,1.37994,0.7707,0.79615,0.80327,0.35901,1.70222,1.49809,1.35161,0.00117435,0.00117435,0.00117435
11,190.599,1.72123,1.33699,1.35344,0.71019,0.77671,0.75545,0.32339,1.76222,1.32599,1.28889,0.00114606,0.00114606,0.00114606
12,207.413,1.69433,1.32655,1.35142,0.74552,0.8208,0.80192,0.35153,1.68974,1.29088,1.29208,0.00111776,0.00111776,0.00111776
13,224.742,1.67946,1.27638,1.33714,0.74862,0.83801,0.78871,0.34998,1.69436,1.26122,1.2877,0.00108947,0.00108947,0.00108947
14,241.915,1.66117,1.24046,1.32531,0.76491,0.76881,0.78629,0.34577,1.7413,1.22404,1.3106,0.00106118,0.00106118,0.00106118
15,258.953,1.63369,1.22437,1.31436,0.78094,0.78582,0.79388,0.35666,1.66107,1.16393,1.24045,0.00103288,0.00103288,0.00103288
16,275.566,1.64395,1.20851,1.31643,0.73565,0.81764,0.81957,0.36986,1.67462,1.16409,1.28258,0.00100459,0.00100459,0.00100459
17,292.709,1.60748,1.18759,1.28377,0.73434,0.76768,0.77478,0.35357,1.64091,1.17527,1.25517,0.000976293,0.000976293,0.000976293
18,309.581,1.60427,1.17976,1.29822,0.81159,0.78512,0.82585,0.36451,1.6785,1.13788,1.26105,0.000947999,0.000947999,0.000947999
19,326.127,1.61112,1.16269,1.29069,0.76981,0.8141,0.8126,0.35117,1.668,1.18683,1.24664,0.000919704,0.000919704,0.000919704
20,342.865,1.6042,1.14859,1.29915,0.79921,0.83016,0.82534,0.38079,1.65187,1.0757,1.25759,0.00089141,0.00089141,0.00089141
21,360.981,1.60191,1.13346,1.28992,0.80595,0.82801,0.81573,0.3709,1.64169,1.14581,1.27234,0.000863116,0.000863116,0.000863116
22,378.184,1.59486,1.14221,1.30629,0.78701,0.81238,0.83218,0.37476,1.60691,1.10507,1.26945,0.000834822,0.000834822,0.000834822
23,395.096,1.57579,1.10657,1.28533,0.81386,0.85696,0.84425,0.3829,1.61177,1.0743,1.23196,0.000806528,0.000806528,0.000806528
24,412.039,1.55999,1.09602,1.26732,0.80753,0.84625,0.86903,0.37484,1.70233,1.08268,1.263,0.000778233,0.000778233,0.000778233
25,428.527,1.56203,1.10915,1.28092,0.83026,0.86713,0.862,0.39657,1.5849,1.06303,1.23844,0.000749939,0.000749939,0.000749939
26,445.679,1.55025,1.07639,1.2618,0.80242,0.84069,0.81912,0.37349,1.62177,1.04688,1.23961,0.000721645,0.000721645,0.000721645
27,463.622,1.57528,1.08385,1.27744,0.82029,0.84796,0.8554,0.38906,1.60498,1.04091,1.24189,0.000693351,0.000693351,0.000693351
28,480.782,1.54651,1.04872,1.25971,0.84817,0.84779,0.84921,0.38769,1.63099,1.0584,1.2532,0.000665057,0.000665057,0.000665057
29,497.125,1.55623,1.07543,1.27421,0.82591,0.89929,0.88504,0.40232,1.55628,1.06288,1.21953,0.000636762,0.000636762,0.000636762
30,513.941,1.54653,1.06221,1.25751,0.80567,0.84846,0.84846,0.40898,1.55128,1.01024,1.21727,0.000608468,0.000608468,0.000608468
31,531.127,1.54063,1.0404,1.2495,0.85271,0.87438,0.87741,0.40304,1.57935,0.99452,1.20543,0.000580174,0.000580174,0.000580174
32,548.057,1.49772,1.00743,1.22965,0.83829,0.83897,0.85895,0.40545,1.56679,0.99421,1.20514,0.00055188,0.00055188,0.00055188
33,564.594,1.52958,1.01622,1.23398,0.86683,0.85758,0.88196,0.39914,1.58086,1.04065,1.2096,0.000523586,0.000523586,0.000523586
34,581.774,1.50222,0.98775,1.21979,0.8178,0.86032,0.85759,0.4019,1.58281,0.97099,1.21559,0.000495291,0.000495291,0.000495291
35,599.346,1.51327,1.02497,1.24263,0.8374,0.86615,0.86821,0.39513,1.58806,1.00328,1.20029,0.000466997,0.000466997,0.000466997
36,615.946,1.49888,1.00223,1.22255,0.8153,0.86667,0.86061,0.40478,1.55352,0.96827,1.18769,0.000438703,0.000438703,0.000438703
37,632.652,1.47928,0.97546,1.22341,0.83458,0.86478,0.86684,0.41809,1.53003,0.93178,1.19184,0.000410409,0.000410409,0.000410409
38,649.922,1.46513,0.97555,1.21496,0.84511,0.87322,0.87395,0.41897,1.55099,0.93744,1.19831,0.000382115,0.000382115,0.000382115
39,666.979,1.46628,0.94907,1.20686,0.84885,0.88419,0.87659,0.41346,1.54728,0.93996,1.20132,0.00035382,0.00035382,0.00035382
40,683.46,1.47574,0.95955,1.21458,0.84859,0.87583,0.88238,0.41921,1.5492,0.92157,1.20084,0.000325526,0.000325526,0.000325526
41,702.572,1.49331,0.93896,1.23128,0.86041,0.88558,0.89217,0.40896,1.56121,0.94291,1.20606,0.000297232,0.000297232,0.000297232
42,718.178,1.4662,0.91351,1.22042,0.84126,0.89179,0.89198,0.42012,1.54031,0.91641,1.18366,0.000268938,0.000268938,0.000268938
43,733.807,1.449,0.9086,1.21728,0.87958,0.85625,0.8964,0.42508,1.52612,0.89206,1.18069,0.000240644,0.000240644,0.000240644
44,749.577,1.43262,0.89,1.21151,0.84927,0.88385,0.89141,0.41849,1.53232,0.91931,1.17876,0.000212349,0.000212349,0.000212349
45,764.774,1.434,0.8771,1.20448,0.85615,0.8672,0.88298,0.42183,1.53605,0.89284,1.19033,0.000184055,0.000184055,0.000184055
46,780.033,1.42014,0.86284,1.20291,0.84991,0.90085,0.89881,0.42304,1.53778,0.87661,1.18753,0.000155761,0.000155761,0.000155761
47,795.692,1.42365,0.85932,1.20418,0.84803,0.90479,0.89104,0.41687,1.54638,0.8889,1.18425,0.000127467,0.000127467,0.000127467
48,810.69,1.40953,0.84792,1.1905,0.85485,0.90412,0.89671,0.42737,1.53427,0.87062,1.18153,9.91726e-05,9.91726e-05,9.91726e-05
49,826.25,1.40831,0.847,1.18692,0.86596,0.89196,0.90029,0.42905,1.53069,0.86873,1.18151,7.08784e-05,7.08784e-05,7.08784e-05
50,841.801,1.38708,0.83262,1.17929,0.86669,0.88619,0.89389,0.42731,1.52463,0.87628,1.17819,4.25842e-05,4.25842e-05,4.25842e-05
